"formula","robust_errors","log","t","p"
"economic_growth ~ gdp_level + economic_freedom + inequality + population + inflation + e_polity2","HC0",TRUE,1.605778507241,0.108586344940747
"economic_growth ~ gdp_level + economic_freedom + inequality + population + life_expectancy + e_polity2","HC0",TRUE,1.73454952020746,0.0830663509132096
"economic_growth ~ gdp_level + economic_freedom + inequality + population + enrollment + e_polity2","HC0",TRUE,2.07734871744466,0.0380412946383794
"economic_growth ~ gdp_level + economic_freedom + inequality + population + physical_capital + e_polity2","HC0",TRUE,1.35421041388704,0.175938092947518
"economic_growth ~ gdp_level + economic_freedom + inequality + population + trade + e_polity2","HC0",TRUE,1.66573109044271,0.0960199783730977
"economic_growth ~ gdp_level + economic_freedom + inequality + population + gov_size + e_polity2","HC0",TRUE,1.53211561453007,0.125854947734595
"economic_growth ~ gdp_level + economic_freedom + inequality + population + conflict + e_polity2","HC0",TRUE,1.24030579091644,0.215217521455507
"economic_growth ~ gdp_level + economic_freedom + inequality + inflation + life_expectancy + e_polity2","HC0",TRUE,2.70746455197619,0.0068764539395562
"economic_growth ~ gdp_level + economic_freedom + inequality + inflation + enrollment + e_polity2","HC0",TRUE,2.58089541309635,0.0100119022573495
"economic_growth ~ gdp_level + economic_freedom + inequality + inflation + physical_capital + e_polity2","HC0",TRUE,2.8241773703229,0.00482706643438525
"economic_growth ~ gdp_level + economic_freedom + inequality + inflation + trade + e_polity2","HC0",TRUE,3.08754775111673,0.00206519837842569
"economic_growth ~ gdp_level + economic_freedom + inequality + inflation + gov_size + e_polity2","HC0",TRUE,2.03131132021855,0.0425308497666411
"economic_growth ~ gdp_level + economic_freedom + inequality + inflation + conflict + e_polity2","HC0",TRUE,2.11732801925961,0.0345511949115746
"economic_growth ~ gdp_level + economic_freedom + inequality + life_expectancy + enrollment + e_polity2","HC0",TRUE,2.7245707977338,0.00655840840954405
"economic_growth ~ gdp_level + economic_freedom + inequality + life_expectancy + physical_capital + e_polity2","HC0",TRUE,2.27031261062066,0.0233749437070252
"economic_growth ~ gdp_level + economic_freedom + inequality + life_expectancy + trade + e_polity2","HC0",TRUE,2.61047257185834,0.0091508950171582
"economic_growth ~ gdp_level + economic_freedom + inequality + life_expectancy + gov_size + e_polity2","HC0",TRUE,1.87665030402213,0.0608982587498473
"economic_growth ~ gdp_level + economic_freedom + inequality + life_expectancy + conflict + e_polity2","HC0",TRUE,1.61503180883503,0.106688954918253
"economic_growth ~ gdp_level + economic_freedom + inequality + enrollment + physical_capital + e_polity2","HC0",TRUE,2.66127786717968,0.00792615331509754
"economic_growth ~ gdp_level + economic_freedom + inequality + enrollment + trade + e_polity2","HC0",TRUE,2.58992093525627,0.0097500819653341
"economic_growth ~ gdp_level + economic_freedom + inequality + enrollment + gov_size + e_polity2","HC0",TRUE,1.93188489114442,0.0537609320001347
"economic_growth ~ gdp_level + economic_freedom + inequality + enrollment + conflict + e_polity2","HC0",TRUE,1.95249041176066,0.0513274822192206
"economic_growth ~ gdp_level + economic_freedom + inequality + physical_capital + trade + e_polity2","HC0",TRUE,2.56079723804512,0.0105715659307238
"economic_growth ~ gdp_level + economic_freedom + inequality + physical_capital + gov_size + e_polity2","HC0",TRUE,2.36740144533722,0.0181496486053618
"economic_growth ~ gdp_level + economic_freedom + inequality + physical_capital + conflict + e_polity2","HC0",TRUE,1.94535749972572,0.0521057788917419
"economic_growth ~ gdp_level + economic_freedom + inequality + trade + gov_size + e_polity2","HC0",TRUE,2.34058265583918,0.0194785052278005
"economic_growth ~ gdp_level + economic_freedom + inequality + trade + conflict + e_polity2","HC0",TRUE,2.42844232653412,0.0153792288769699
"economic_growth ~ gdp_level + economic_freedom + inequality + gov_size + conflict + e_polity2","HC0",TRUE,1.75132296165555,0.0804206963280046
"economic_growth ~ gdp_level + economic_freedom + population + inflation + life_expectancy + e_polity2","HC0",TRUE,0.477017356193071,0.633368500442421
"economic_growth ~ gdp_level + economic_freedom + population + inflation + enrollment + e_polity2","HC0",TRUE,0.544855444227119,0.585889748994276
"economic_growth ~ gdp_level + economic_freedom + population + inflation + physical_capital + e_polity2","HC0",TRUE,0.95556747184165,0.339346648484637
"economic_growth ~ gdp_level + economic_freedom + population + inflation + trade + e_polity2","HC0",TRUE,1.02250079989666,0.306592690377643
"economic_growth ~ gdp_level + economic_freedom + population + inflation + gov_size + e_polity2","HC0",TRUE,1.09090176172877,0.275419218995197
"economic_growth ~ gdp_level + economic_freedom + population + inflation + conflict + e_polity2","HC0",TRUE,-0.16464893240085,0.869229411538719
"economic_growth ~ gdp_level + economic_freedom + population + life_expectancy + enrollment + e_polity2","HC0",TRUE,1.17380414510014,0.240547847142098
"economic_growth ~ gdp_level + economic_freedom + population + life_expectancy + physical_capital + e_polity2","HC0",TRUE,0.214475647381,0.830185499911551
"economic_growth ~ gdp_level + economic_freedom + population + life_expectancy + trade + e_polity2","HC0",TRUE,0.301186554448755,0.763282703289428
"economic_growth ~ gdp_level + economic_freedom + population + life_expectancy + gov_size + e_polity2","HC0",TRUE,0.383371655542751,0.701475391696688
"economic_growth ~ gdp_level + economic_freedom + population + life_expectancy + conflict + e_polity2","HC0",TRUE,0.0162866656631759,0.987006433813667
"economic_growth ~ gdp_level + economic_freedom + population + enrollment + physical_capital + e_polity2","HC0",TRUE,0.980229923647216,0.327052180974557
"economic_growth ~ gdp_level + economic_freedom + population + enrollment + trade + e_polity2","HC0",TRUE,0.684097809821247,0.493958120439268
"economic_growth ~ gdp_level + economic_freedom + population + enrollment + gov_size + e_polity2","HC0",TRUE,0.707693629496562,0.479221561916316
"economic_growth ~ gdp_level + economic_freedom + population + enrollment + conflict + e_polity2","HC0",TRUE,0.299024011133798,0.764946411382121
"economic_growth ~ gdp_level + economic_freedom + population + physical_capital + trade + e_polity2","HC0",TRUE,0.132846893344442,0.894320235525981
"economic_growth ~ gdp_level + economic_freedom + population + physical_capital + gov_size + e_polity2","HC0",TRUE,0.729037948125357,0.46605521436863
"economic_growth ~ gdp_level + economic_freedom + population + physical_capital + conflict + e_polity2","HC0",TRUE,0.0549319765880751,0.956195971930805
